id,name,rank,difficulty
1,Arsenal,8,5
2,Aston Villa,11,2
3,Brighton,16,3
4,Burnley,17,4
5,Chelsea,4,6
6,Crystal Palace,14,3
7,Everton,10,4
8,Fulham,18,2
9,Leicester,5,5
10,Leeds,9,2
11,Liverpool,3,6
12,Man City,1,6
13,Man Utd,2,6
14,Newcastle,12,3
15,Sheffield Utd,20,4
16,Southampton,15,4
17,Spurs,7,5
18,West Brom,19,2
19,West Ham,6,3
20,Wolves,13,5
